listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
9699245,Private Studio 10 mins from Dubai Airport,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/b1012da7-fcfe-4ded-8919-2e145215a19d.jpg,24,50087028,Mayyad,"","",false,25.1553,55.4116,4,1,2,1.5,false,"Wifi,Air conditioning,Kitchen,Free parking on premises,Room-darkening shades,Hot water,Elevator,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Washer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Bidet,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Bathtub",false,6,Moderate,AED,0,0,49,4.59,4.7,4.8,4.5,4.9,4.1,4.6,6388.0,23460.0,54.5,200.0,0.3,0.4,17.5,64.3,19.3,70.9,120,34,245,365,388.0,1424.0,58.8,216.0,0.1,0.0,4.3,15.8,0.0,0.0,7,0,83,90
9749634,Amazing Location - Your next beachfront escape,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/5f76d168-1fbf-4d44-b07b-4110a33275a9.jpg,42,3943790,Simon,"","",true,25.0748,55.1305,6,2,3,2.5,false,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Kitchen,Free parking on premises,Pets allowed,Gym,Elevator,Outdoor furniture,Hot tub,Heating,Washer,Beach access,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Bathtub,High chair,Crib,Pack ’n play/Travel crib,Children’s dinnerware,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Outdoor playground",true,1,Flexible,AED,40,0,325,4.82,4.9,4.8,4.6,4.9,5.0,4.8,50432.0,185236.0,163.1,599.2,0.8,0.0,138.2,507.5,0.0,0.0,303,0,62,365,8773.0,32218.0,129.0,473.7,0.8,0.0,97.5,358.0,0.0,0.0,68,0,22,90
9819206,Perfect studio near the beach Jbr,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-9819206/original/b5273d8a-740c-4a3e-8a24-771687d33d62.jpeg,30,48547686,Anna Apricus Holiday Homes,"","",true,25.0801,55.1369,4,,1,1.0,true,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Gym,Elevator,Outdoor furniture,Cleaning products,Drying rack for clothing,Clothing storage,Wine glasses,Washer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Freezer,Bathtub,High chair,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Long term stays allowed,Dining table,Toaster",,3,Strict,AED,60,,155,4.71,4.8,4.9,4.7,4.9,4.9,4.6,15059.0,55310.0,148.9,546.8,0.3,0.3,41.3,151.5,45.2,166.1,114,32,251,365,0.0,0.0,181.0,664.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
9869384,Outstanding place in Dubai Marina,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-9869384/original/a2a3cb41-08c2-4086-b1a7-d042a67e8100.jpeg,28,34554111,Dragos Gabriel,"","",true,25.0898,55.1471,2,1,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Crib,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Hot water,Gym,Body soap,Elevator,Bed linens,Extra pillows and blankets,Ethernet connection,Hot tub,Microwave,Indoor fireplace,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Bathtub",false,1,Strict,AED,30,10,81,4.59,4.6,4.8,4.5,4.8,4.9,4.6,1574.0,5780.0,74.9,275.2,0.0,0.0,4.3,15.8,0.0,0.0,16,0,349,365,0.0,0.0,69.0,253.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
9918276,Spacious Sea View studio at the beach Jbr,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-9918276/original/7cc502d9-a52c-4dc7-93cd-9be4ecd5ffc3.jpeg,49,48547686,Anna Apricus Holiday Homes,"","",true,25.0799,55.1370,4,,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Gym,Conditioner,Elevator,Outdoor furniture,Cleaning products,Drying rack for clothing,Clothing storage,Wine glasses,Washer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Freezer,Bathtub,High chair,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Dining table,Toaster",true,3,Strict,AED,0,0,204,4.82,4.9,4.9,4.8,5.0,5.0,4.8,31824.0,116891.0,128.0,470.0,0.7,0.7,87.2,320.2,91.4,335.9,239,17,126,365,4159.0,15273.0,83.8,307.6,0.5,0.7,46.2,169.7,57.0,209.2,48,17,42,90
10047200,Fabulous City Views From This Spacious Studio,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-10047200/original/d706648b-6ad5-4d87-b228-c55e4845074f.jpeg,17,51561369,Nasma Luxury Stays,116017475,A,false,25.2067,55.2753,2,,1,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Gym,Elevator,Trash compactor,Cleaning products,Drying rack for clothing,Clothing storage,Wine glasses,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Bathtub,High chair,Crib,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Oven,Stove,Shower gel,Long term stays allowed,Safe,Dining table,Toaster",true,1,Moderate,AED,0,0,55,4.75,4.9,4.8,4.7,4.9,5.0,4.7,12003.0,44089.0,259.6,953.6,0.1,0.3,32.9,120.8,59.1,217.2,51,162,314,365,0.0,0.0,201.3,739.4,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90
10094085,Cozy Private Room | JBR | Beachfront | Tram,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTAwOTQwODU%3D/original/1c4907b8-e6e6-48ae-b261-d6a294efb206.jpeg,18,3149046,Zingo Rooms,"","",false,25.0800,55.1382,1,1,1,1.0,false,"TV,Wifi,Air conditioning,Pool,Kitchen,Hot water,Gym,Elevator,Bed linens,Microwave,Coffee maker,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Beach access,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace",,3,Moderate,AED,27,,12,4.17,4.2,3.8,4.1,4.2,4.6,4.0,827.0,3038.0,53.4,196.0,0.0,0.1,2.3,8.3,3.0,11.1,16,92,349,365,0.0,0.0,51.6,189.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
10267596,Elegant Studio apartment in central location,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/7575b751-f748-4396-9e4a-540610648f6c.jpg,7,50087028,Mayyad,"","",false,25.1700,55.4061,4,1,2,1.0,false,"Wifi,Air conditioning,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Hot water,Elevator,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Washer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Bathtub",false,4,Moderate,AED,40,0,20,4.65,4.8,5.0,4.8,5.0,4.2,4.6,1381.0,5072.0,57.4,210.9,0.1,0.0,3.8,13.9,0.0,0.0,25,0,340,365,591.0,2170.0,53.8,197.6,0.1,0.0,6.6,24.1,0.0,0.0,11,0,79,90
10305720,2BD| heart of Dubai | 40th Floor Balcony |Sea View,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/1c3a7334-22c7-4a32-938e-c92cdc2becd5.jpg,24,4657830,Lillia,"","",false,25.0879,55.1475,6,2,4,2.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Paid parking off premises,Hot water,Gym,Elevator,Free street parking,Hot tub,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Paid parking on premises,Stove,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Essentials,Long term stays allowed,Hangers,Hair dryer,Iron",false,1,Strict,AED,30,10,243,4.66,4.7,4.8,4.5,4.9,4.9,4.6,52359.0,192317.0,236.1,867.2,0.6,0.6,143.4,526.9,148.7,546.4,214,13,151,365,3968.0,14574.0,145.1,533.0,0.3,0.0,44.1,161.9,0.0,0.0,27,0,63,90
10307002,Awesome Marina Canal View 1bd Bay Central Marina,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-10307002/original/2aeafd5a-4999-46b1-a090-063cc5488906.jpeg,35,48547686,Anna Apricus Holiday Homes,"","",true,25.0785,55.1373,4,1,2,1.0,false,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Gym,Elevator,Outdoor furniture,Cleaning products,Drying rack for clothing,Clothing storage,Wine glasses,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Freezer,Bathtub,High chair,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Long term stays allowed,Dining table,Toaster",false,3,Strict,AED,78,0,238,4.8,4.9,4.9,4.8,4.9,5.0,4.7,34098.0,125238.0,133.8,491.6,0.6,0.7,93.4,343.1,94.2,346.0,237,3,128,365,3324.0,12209.0,88.8,326.3,0.5,0.5,36.9,135.7,38.2,140.3,44,3,46,90
